ucbkID,JobNumber,Pickup,UcbkDate,UcbkTime,ScheduleID,ScheduleName,SourceID,JobRelationshipTypeID,ProposedRoute,Reason,NeedsReview
384,P55CRT,Contra Costa Path Assoc- Pleasant Hill,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
314,P41CRT,El Camino Hosptial,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
369,P52CRT,John Muir Health- Concord,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
379,P54CRT,John Muir Hlth Walnut Creek,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
374,P53CRT,John Muir Hlth Walnut Creek Clinical Lab,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
364,P51CRT,Kaiser- Oakland Clinical Lab,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
359,P50CRT,Kaiser- Oakland Pathology Lab,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
394,P57CRT,Kaiser- Santa Clara,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
334,P45CRT,Mills Peninsula Health Services,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
329,P44CRT,Peninsula Pathologists Medical Group,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
389,P56CRT,San Ramon Regional Medical Center,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
399,P58CRT,Santa Rosa Memorial Hospital,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
319,P42CRT,St Francis Memorial Hospital,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
324,P43CRT,St Francis- Radiation Oncology,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
339,P46CRT,St Mary's Med Ctr,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
344,P47CRT,St. Mary's Clinical Lab,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
354,P49CRT,Sutter CPMC- Pathology Davies,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
349,P48CRT,Sutter CPMP- Van Ness Campus,2026-05-27,02:00,72,Hayward to Aliso Viejo (Schedule),12.0,19.0,Hayward to Aliso Viejo,existing schedule,
192,P62CRT,Cancer Care Specialists - Reno,2026-05-21,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
276,P15CRT,Cancer Care Specialists- Carson City,2026-05-27,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
283,P16CRT,Carson Tahoe Reg Med Ctr,2026-05-27,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
269,P14CRT,Renown Reg Med Ctr,2026-05-27,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
306,P17STAT,SIERRA NEVADA MEMORIAL,2026-05-27,20:10,,,1.0,1.0,Reno to Aliso Viejo,inferred from pickup geography,
262,P13CRT,St. Mary's Reg Med Ctr- Reno,2026-05-27,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
199,KT1578CRT,Test 123,2026-05-06,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,YES
213,KT1594CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
220,KT1600CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
227,KT1606CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
234,KT1612CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
241,KT1618CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
248,KT1624CRT,Western Pathology Consultants,2026-04-23,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
255,P12CRT,Western Pathology Consultants,2026-05-27,02:00,62,Reno to Aliso Viejo (Schedule),12.0,19.0,Reno to Aliso Viejo,existing schedule,
406,P60STAT,DIGNITY HLTH-PATH MICRO LABORATORY,2026-05-27,21:40,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
302,P34STAT,DOCTORS MED-MODESTO,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
311,P38STAT,DPMG,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,evening unscheduled wave,
300,P32STAT,EMANUEL MEDICAL CENTER,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
301,P33STAT,EMANUEL MEDICAL Cancer Services,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
295,P30STAT,ENLOE CANCER CNTR,2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
297,P25STAT,Enloe Medical Center,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
407,P61STAT,MARSHALL MEDICAL CENTER - PATHOLOGY,2026-05-27,21:40,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
309,P20STAT,MERCY GENERAL,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
310,P21STAT,MERCY GENERAL,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
303,P35STAT,MODESTO MEMORIAL,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
313,P40STAT,Marshall Hematology and Oncology,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
308,P19STAT,Mercy San Juan Medical Center,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
298,P26CRT,OROVILLE HOSP,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
296,P31STAT,PATHOLOGY SCIENCES MED GROUP,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
299,P27STAT,RIDEOUT MEMORIAL,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
305,P37STAT,SAN JOAQUIN GENERAL,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
307,P18STAT,SUTTER ROSEVILLE,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
290,P22STAT,St. Joseph's Hospital-LAB,2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
404,KT1912STAT,St. Joseph's Hospital-Pathology,2026-04-14,21:30,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
291,P23STAT,St. Joseph's Hospital-Pathology,2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
405,P59STAT,Stockton Hematology Oncology Medical Group,2026-05-27,21:30,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
292,P28STAT,Sutter Medical Foundation- Sac Hem/Onc,2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
312,P39STAT,UC DAVIS PATH BLDG,2026-05-27,20:20,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
293,P24STAT,UC Davis Med Center (SEND OUTS),2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
294,P29STAT,WOODLAND HOSPITAL,2026-05-27,20:00,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
304,P36STAT,YOSEMITE PATH GROUP,2026-05-27,20:10,,,1.0,1.0,Sacramento/Central Valley to Aliso Viejo,inferred from pickup geography/time wave,
